from_course_id,to_course_id,type,confidence,raw_text
SP25-MATH-1110,SP25-CS-1112,or,0.9,MATH 1110 or equivalent.
SP25-CS-1110,SP25-CS-2110,or,0.9,CS 1110 or CS 1112 or equivalent course on programming in a procedural language.
SP25-CS-1112,SP25-CS-2110,or,0.9,CS 1110 or CS 1112 or equivalent course on programming in a procedural language.
SP25-CS-2110,SP25-CS-3110,or,0.9,CS 2110 or equivalent programming experience.
SP25-CS-2110,SP25-CS-3152,or,0.9,"CS 2110 for programmers, or permission of the instructor."
SP25-CS-2110,SP25-CS-3410,or,0.9,CS 2110 or equivalent programming experience.
SP25-CS-2110,SP25-CS-3700,complex,0.6,"CS 2110/ENGRD 2110 and CS 2800, or by permission of instructor."
SP25-CS-2800,SP25-CS-3700,complex,0.6,"CS 2110/ENGRD 2110 and CS 2800, or by permission of instructor."
SP25-CS-2800,SP25-CS-3780,and,0.9,"probability theory (e.g. BTRY 3080, CS 2800, ECON 3130, ENGRD 2700, MATH 4710) and linear algebra (e.g. MATH 2210, MATH 2310, MATH 2940), single-variable calculus (e.g. MATH 1110, MATH 1920) and programming proficiency (e.g. CS 2110)."
SP25-MATH-4710,SP25-CS-3780,and,0.9,"probability theory (e.g. BTRY 3080, CS 2800, ECON 3130, ENGRD 2700, MATH 4710) and linear algebra (e.g. MATH 2210, MATH 2310, MATH 2940), single-variable calculus (e.g. MATH 1110, MATH 1920) and programming proficiency (e.g. CS 2110)."
SP25-MATH-2210,SP25-CS-3780,and,0.9,"probability theory (e.g. BTRY 3080, CS 2800, ECON 3130, ENGRD 2700, MATH 4710) and linear algebra (e.g. MATH 2210, MATH 2310, MATH 2940), single-variable calculus (e.g. MATH 1110, MATH 1920) and programming proficiency (e.g. CS 2110)."
SP25-MATH-2310,SP25-CS-3780,and,0.9,"probability theory (e.g. BTRY 3080, CS 2800, ECON 3130, ENGRD 2700, MATH 4710) and linear algebra (e.g. MATH 2210, MATH 2310, MATH 2940), single-variable calculus (e.g. MATH 1110, MATH 1920) and programming proficiency (e.g. CS 2110)."
SP25-MATH-2940,SP25-CS-3780,and,0.9,"probability theory (e.g. BTRY 3080, CS 2800, ECON 3130, ENGRD 2700, MATH 4710) and linear algebra (e.g. MATH 2210, MATH 2310, MATH 2940), single-variable calculus (e.g. MATH 1110, MATH 1920) and programming proficiency (e.g. CS 2110)."
SP25-MATH-1110,SP25-CS-3780,and,0.9,"probability theory (e.g. BTRY 3080, CS 2800, ECON 3130, ENGRD 2700, MATH 4710) and linear algebra (e.g. MATH 2210, MATH 2310, MATH 2940), single-variable calculus (e.g. MATH 1110, MATH 1920) and programming proficiency (e.g. CS 2110)."
SP25-MATH-1920,SP25-CS-3780,and,0.9,"probability theory (e.g. BTRY 3080, CS 2800, ECON 3130, ENGRD 2700, MATH 4710) and linear algebra (e.g. MATH 2210, MATH 2310, MATH 2940), single-variable calculus (e.g. MATH 1110, MATH 1920) and programming proficiency (e.g. CS 2110)."
SP25-CS-2110,SP25-CS-3780,and,0.9,"probability theory (e.g. BTRY 3080, CS 2800, ECON 3130, ENGRD 2700, MATH 4710) and linear algebra (e.g. MATH 2210, MATH 2310, MATH 2940), single-variable calculus (e.g. MATH 1110, MATH 1920) and programming proficiency (e.g. CS 2110)."
SP25-CS-3152,SP25-CS-4152,or,0.9,"CS 3152, CS 3300 or CS 3700 or CS 4620 or CS 5414."
SP25-CS-3700,SP25-CS-4152,or,0.9,"CS 3152, CS 3300 or CS 3700 or CS 4620 or CS 5414."
SP25-MATH-2210,SP25-CS-4220,or,0.9,MATH 2210 or MATH 2940 or equivalent.
SP25-MATH-2940,SP25-CS-4220,or,0.9,MATH 2210 or MATH 2940 or equivalent.
SP25-MATH-2940,SP25-CS-4300,complex,0.6,"1) linear algebra: strong performance in MATH 2940 or equivalent; 2) discrete math: strong performance in CS 2800 or equivalent. Note: the linear algebra and discrete math requirements can also be fulfilled with a strong performance in INFO 2950; and 3) programming proficiency: CS 2110 or equivalent with strong Python skills and familiarity with IPython Notebooks, or permission of instructor."
SP25-CS-2800,SP25-CS-4300,complex,0.6,"1) linear algebra: strong performance in MATH 2940 or equivalent; 2) discrete math: strong performance in CS 2800 or equivalent. Note: the linear algebra and discrete math requirements can also be fulfilled with a strong performance in INFO 2950; and 3) programming proficiency: CS 2110 or equivalent with strong Python skills and familiarity with IPython Notebooks, or permission of instructor."
SP25-CS-2110,SP25-CS-4300,complex,0.6,"1) linear algebra: strong performance in MATH 2940 or equivalent; 2) discrete math: strong performance in CS 2800 or equivalent. Note: the linear algebra and discrete math requirements can also be fulfilled with a strong performance in INFO 2950; and 3) programming proficiency: CS 2110 or equivalent with strong Python skills and familiarity with IPython Notebooks, or permission of instructor."
SP25-CS-3410,SP25-CS-4410,or,0.9,CS 3410 or CS 3420.
SP25-CS-3420,SP25-CS-4410,or,0.9,CS 3410 or CS 3420.
SP25-CS-2110,SP25-CS-4670,complex,0.6,"CS 2110, CS 2800, MATH 1920 or equivalent and MATH 2310 or MATH 2940 or equivalent."
SP25-CS-2800,SP25-CS-4670,complex,0.6,"CS 2110, CS 2800, MATH 1920 or equivalent and MATH 2310 or MATH 2940 or equivalent."
SP25-MATH-1920,SP25-CS-4670,complex,0.6,"CS 2110, CS 2800, MATH 1920 or equivalent and MATH 2310 or MATH 2940 or equivalent."
SP25-MATH-2310,SP25-CS-4670,complex,0.6,"CS 2110, CS 2800, MATH 1920 or equivalent and MATH 2310 or MATH 2940 or equivalent."
SP25-MATH-2940,SP25-CS-4670,complex,0.6,"CS 2110, CS 2800, MATH 1920 or equivalent and MATH 2310 or MATH 2940 or equivalent."
SP25-CS-3700,SP25-CS-4701,or,0.9,"at least one of the following courses: CS 3700, CS 3780, CS 4670, CS 4740, ECE 4200, ORIE 3741, STSCI 3740, or their equivalents."
SP25-CS-3780,SP25-CS-4701,or,0.9,"at least one of the following courses: CS 3700, CS 3780, CS 4670, CS 4740, ECE 4200, ORIE 3741, STSCI 3740, or their equivalents."
SP25-CS-4670,SP25-CS-4701,or,0.9,"at least one of the following courses: CS 3700, CS 3780, CS 4670, CS 4740, ECE 4200, ORIE 3741, STSCI 3740, or their equivalents."
SP25-CS-4740,SP25-CS-4701,or,0.9,"at least one of the following courses: CS 3700, CS 3780, CS 4670, CS 4740, ECE 4200, ORIE 3741, STSCI 3740, or their equivalents."
SP25-CS-1133,SP25-CS-4744,complex,0.6,"Elementary Python (ex. CS 1133), LING 1101 or CS 2800 or PHIL 2310; for CS majors: Elementary Python and CS 2800."
SP25-CS-2800,SP25-CS-4744,complex,0.6,"Elementary Python (ex. CS 1133), LING 1101 or CS 2800 or PHIL 2310; for CS majors: Elementary Python and CS 2800."
SP25-CS-2800,SP25-CS-4744,complex,0.6,"Elementary Python (ex. CS 1133), LING 1101 or CS 2800 or PHIL 2310; for CS majors: Elementary Python and CS 2800."
SP25-CS-2800,SP25-CS-4756,complex,0.6,"CS 2800, probability theory (e.g. BTRY 3080, ECON 3130, MATH 4710, ENGRD 2700), linear algebra (e.g. MATH 2940), calculus (e.g. MATH 1920) , programming proficiency (e.g. CS 2110), and CS 3780 or equivalent or permission of instructor."
SP25-MATH-4710,SP25-CS-4756,complex,0.6,"CS 2800, probability theory (e.g. BTRY 3080, ECON 3130, MATH 4710, ENGRD 2700), linear algebra (e.g. MATH 2940), calculus (e.g. MATH 1920) , programming proficiency (e.g. CS 2110), and CS 3780 or equivalent or permission of instructor."
SP25-MATH-2940,SP25-CS-4756,complex,0.6,"CS 2800, probability theory (e.g. BTRY 3080, ECON 3130, MATH 4710, ENGRD 2700), linear algebra (e.g. MATH 2940), calculus (e.g. MATH 1920) , programming proficiency (e.g. CS 2110), and CS 3780 or equivalent or permission of instructor."
SP25-MATH-1920,SP25-CS-4756,complex,0.6,"CS 2800, probability theory (e.g. BTRY 3080, ECON 3130, MATH 4710, ENGRD 2700), linear algebra (e.g. MATH 2940), calculus (e.g. MATH 1920) , programming proficiency (e.g. CS 2110), and CS 3780 or equivalent or permission of instructor."
SP25-CS-2110,SP25-CS-4756,complex,0.6,"CS 2800, probability theory (e.g. BTRY 3080, ECON 3130, MATH 4710, ENGRD 2700), linear algebra (e.g. MATH 2940), calculus (e.g. MATH 1920) , programming proficiency (e.g. CS 2110), and CS 3780 or equivalent or permission of instructor."
SP25-CS-3780,SP25-CS-4756,complex,0.6,"CS 2800, probability theory (e.g. BTRY 3080, ECON 3130, MATH 4710, ENGRD 2700), linear algebra (e.g. MATH 2940), calculus (e.g. MATH 1920) , programming proficiency (e.g. CS 2110), and CS 3780 or equivalent or permission of instructor."
SP25-CS-2110,SP25-CS-4782,complex,0.6,CS 2110 or equivalent and CS 3780 or ECE 4200 or STSCI 3740 and CS 1110 or CS 1112.
SP25-CS-3780,SP25-CS-4782,complex,0.6,CS 2110 or equivalent and CS 3780 or ECE 4200 or STSCI 3740 and CS 1110 or CS 1112.
SP25-CS-1110,SP25-CS-4782,complex,0.6,CS 2110 or equivalent and CS 3780 or ECE 4200 or STSCI 3740 and CS 1110 or CS 1112.
SP25-CS-1112,SP25-CS-4782,complex,0.6,CS 2110 or equivalent and CS 3780 or ECE 4200 or STSCI 3740 and CS 1110 or CS 1112.
SP25-CS-3780,SP25-CS-4789,or,0.9,CS 3780 or equivalent.
SP25-CS-2800,SP25-CS-4810,or,0.9,CS 2800 or permission of instructor.
SP25-CS-2800,SP25-CS-4820,complex,0.6,"CS 2800, CS 3110."
SP25-CS-3110,SP25-CS-4820,complex,0.6,"CS 2800, CS 3110."
SP25-CS-2800,SP25-CS-4850,or,0.9,"CS 2800, MATH 1910, MATH 1920, MATH 2210 or MATH 2940."
SP25-MATH-1910,SP25-CS-4850,or,0.9,"CS 2800, MATH 1910, MATH 1920, MATH 2210 or MATH 2940."
SP25-MATH-1920,SP25-CS-4850,or,0.9,"CS 2800, MATH 1910, MATH 1920, MATH 2210 or MATH 2940."
SP25-MATH-2210,SP25-CS-4850,or,0.9,"CS 2800, MATH 1910, MATH 1920, MATH 2210 or MATH 2940."
SP25-MATH-2940,SP25-CS-4850,or,0.9,"CS 2800, MATH 1910, MATH 1920, MATH 2210 or MATH 2940."
SP25-CS-2800,SP25-CS-4852,or,0.9,"INFO 2040, CS 2800 or equivalent."
SP25-CS-2110,SP25-CS-5150,or,0.9,CS 2110 or equivalent experience programming in Java or C++.
SP25-CS-3152,SP25-CS-5152,or,0.9,"CS 3152, CS 3300 or CS 4620 or CS 3700 or CS 5414."
SP25-CS-3700,SP25-CS-5152,or,0.9,"CS 3152, CS 3300 or CS 4620 or CS 3700 or CS 5414."
SP25-MATH-2210,SP25-CS-5223,or,0.9,"MATH 2210 or MATH 2940 or equivalent, knowledge of programming, CS 3220 or CS 4210/MATH 4250 or permission of instructor."
SP25-MATH-2940,SP25-CS-5223,or,0.9,"MATH 2210 or MATH 2940 or equivalent, knowledge of programming, CS 3220 or CS 4210/MATH 4250 or permission of instructor."
SP25-CS-2110,SP25-CS-5356,or,0.9,CS 2110 or CS 2112.
SP25-CS-3410,SP25-CS-5410,or,0.9,CS 3410 or CS 3420.
SP25-CS-3420,SP25-CS-5410,or,0.9,CS 3410 or CS 3420.
SP25-CS-4410,SP25-CS-5430,single,0.95,CS 4410.
SP25-CS-2800,SP25-CS-5435,or,0.9,CS 2800 or CS 4820 or permission of instructor.
SP25-CS-4820,SP25-CS-5435,or,0.9,CS 2800 or CS 4820 or permission of instructor.
SP25-MATH-1120,SP25-CS-5643,or,0.9,"CS 4620 or equivalent; MATH 1120,  MATH 1920, or equivalent; MATH 2210, MATH 2940, or equivalent; PHYS 1112 or equivalent."
SP25-MATH-1920,SP25-CS-5643,or,0.9,"CS 4620 or equivalent; MATH 1120,  MATH 1920, or equivalent; MATH 2210, MATH 2940, or equivalent; PHYS 1112 or equivalent."
SP25-MATH-2210,SP25-CS-5643,or,0.9,"CS 4620 or equivalent; MATH 1120,  MATH 1920, or equivalent; MATH 2210, MATH 2940, or equivalent; PHYS 1112 or equivalent."
SP25-MATH-2940,SP25-CS-5643,or,0.9,"CS 4620 or equivalent; MATH 1120,  MATH 1920, or equivalent; MATH 2210, MATH 2940, or equivalent; PHYS 1112 or equivalent."
SP25-CS-2110,SP25-CS-5670,complex,0.6,"CS 2110, CS 2800, MATH 1920 or equivalent and MATH 2310 or MATH 2940 or equivalent (Ithaca only)."
SP25-CS-2800,SP25-CS-5670,complex,0.6,"CS 2110, CS 2800, MATH 1920 or equivalent and MATH 2310 or MATH 2940 or equivalent (Ithaca only)."
SP25-MATH-1920,SP25-CS-5670,complex,0.6,"CS 2110, CS 2800, MATH 1920 or equivalent and MATH 2310 or MATH 2940 or equivalent (Ithaca only)."
SP25-MATH-2310,SP25-CS-5670,complex,0.6,"CS 2110, CS 2800, MATH 1920 or equivalent and MATH 2310 or MATH 2940 or equivalent (Ithaca only)."
SP25-MATH-2940,SP25-CS-5670,complex,0.6,"CS 2110, CS 2800, MATH 1920 or equivalent and MATH 2310 or MATH 2940 or equivalent (Ithaca only)."
SP25-CS-2800,SP25-CS-5756,complex,0.6,"CS 2800, probability theory (e.g. BTRY 3010, ECON 3130, MATH 4710, ENGRD 2700), linear algebra (e.g. MATH 2940), calculus (e.g. MATH 1920), programming proficiency (e.g. CS 2110), and CS 3780 or equivalent or permission of instructor."
SP25-MATH-4710,SP25-CS-5756,complex,0.6,"CS 2800, probability theory (e.g. BTRY 3010, ECON 3130, MATH 4710, ENGRD 2700), linear algebra (e.g. MATH 2940), calculus (e.g. MATH 1920), programming proficiency (e.g. CS 2110), and CS 3780 or equivalent or permission of instructor."
SP25-MATH-2940,SP25-CS-5756,complex,0.6,"CS 2800, probability theory (e.g. BTRY 3010, ECON 3130, MATH 4710, ENGRD 2700), linear algebra (e.g. MATH 2940), calculus (e.g. MATH 1920), programming proficiency (e.g. CS 2110), and CS 3780 or equivalent or permission of instructor."
SP25-MATH-1920,SP25-CS-5756,complex,0.6,"CS 2800, probability theory (e.g. BTRY 3010, ECON 3130, MATH 4710, ENGRD 2700), linear algebra (e.g. MATH 2940), calculus (e.g. MATH 1920), programming proficiency (e.g. CS 2110), and CS 3780 or equivalent or permission of instructor."
SP25-CS-2110,SP25-CS-5756,complex,0.6,"CS 2800, probability theory (e.g. BTRY 3010, ECON 3130, MATH 4710, ENGRD 2700), linear algebra (e.g. MATH 2940), calculus (e.g. MATH 1920), programming proficiency (e.g. CS 2110), and CS 3780 or equivalent or permission of instructor."
SP25-CS-3780,SP25-CS-5756,complex,0.6,"CS 2800, probability theory (e.g. BTRY 3010, ECON 3130, MATH 4710, ENGRD 2700), linear algebra (e.g. MATH 2940), calculus (e.g. MATH 1920), programming proficiency (e.g. CS 2110), and CS 3780 or equivalent or permission of instructor."
SP25-CS-2800,SP25-CS-5780,and,0.9,"CS 2800, probability theory (e.g. BTRY 3080, ECON 3130, MATH 4710, ENGRD 2700), linear algebra (e.g. MATH 2940), calculus (e.g. MATH 1920), and programming proficiency (e.g. CS 2110)."
SP25-MATH-4710,SP25-CS-5780,and,0.9,"CS 2800, probability theory (e.g. BTRY 3080, ECON 3130, MATH 4710, ENGRD 2700), linear algebra (e.g. MATH 2940), calculus (e.g. MATH 1920), and programming proficiency (e.g. CS 2110)."
SP25-MATH-2940,SP25-CS-5780,and,0.9,"CS 2800, probability theory (e.g. BTRY 3080, ECON 3130, MATH 4710, ENGRD 2700), linear algebra (e.g. MATH 2940), calculus (e.g. MATH 1920), and programming proficiency (e.g. CS 2110)."
SP25-MATH-1920,SP25-CS-5780,and,0.9,"CS 2800, probability theory (e.g. BTRY 3080, ECON 3130, MATH 4710, ENGRD 2700), linear algebra (e.g. MATH 2940), calculus (e.g. MATH 1920), and programming proficiency (e.g. CS 2110)."
SP25-CS-2110,SP25-CS-5780,and,0.9,"CS 2800, probability theory (e.g. BTRY 3080, ECON 3130, MATH 4710, ENGRD 2700), linear algebra (e.g. MATH 2940), calculus (e.g. MATH 1920), and programming proficiency (e.g. CS 2110)."
SP25-CS-1110,SP25-CS-5782,and,0.9,"ECE 4200, STSCI 3740, CS 1110, CS 3780, and CS 2110."
SP25-CS-3780,SP25-CS-5782,and,0.9,"ECE 4200, STSCI 3740, CS 1110, CS 3780, and CS 2110."
SP25-CS-2110,SP25-CS-5782,and,0.9,"ECE 4200, STSCI 3740, CS 1110, CS 3780, and CS 2110."
SP25-CS-5780,SP25-CS-5789,or,0.9,CS 5780 or equivalent.
SP25-CS-2800,SP25-CS-5850,or,0.9,"CS 2800, MATH 1910, MATH 1920, MATH 2210 or MATH 2940."
SP25-MATH-1910,SP25-CS-5850,or,0.9,"CS 2800, MATH 1910, MATH 1920, MATH 2210 or MATH 2940."
SP25-MATH-1920,SP25-CS-5850,or,0.9,"CS 2800, MATH 1910, MATH 1920, MATH 2210 or MATH 2940."
SP25-MATH-2210,SP25-CS-5850,or,0.9,"CS 2800, MATH 1910, MATH 1920, MATH 2210 or MATH 2940."
SP25-MATH-2940,SP25-CS-5850,or,0.9,"CS 2800, MATH 1910, MATH 1920, MATH 2210 or MATH 2940."
SP25-CS-3110,SP25-CS-6156,or,0.9,graduate standing in CS or CS majors with CS 3110 grade of B+ or better.
SP25-MATH-2210,SP25-CS-6682,or,0.9,"Python, MATH 2210, CS 2110, or CS 2112."
SP25-CS-2110,SP25-CS-6682,or,0.9,"Python, MATH 2210, CS 2110, or CS 2112."
