code,course_id
CS 1142,FA14-CS-1112-1
CS 1112,FA14-CS-1142-1
INFO 1300,FA14-CS-1300-2
ENGRI 1610,FA14-CS-1610-1
MUSIC 1465,FA14-CS-1610-1
PMA 1640,FA14-CS-1610-1
PSYCH 1650,FA14-CS-1610-1
ARCH 3702,FA14-CS-1620-3
ART 2907,FA14-CS-1620-3
ENGRI 1620,FA14-CS-1620-3
ENGRD 2110,FA14-CS-2110-1
ENGRD 2112,FA14-CS-2112-1
ECON 2040,FA14-CS-2850-3
INFO 2040,FA14-CS-2850-3
SOC 2090,FA14-CS-2850-3
CS 5110,FA14-CS-4110-1
MATH 4250,FA14-CS-4210-2
INFO 4300,FA14-CS-4300-2
CS 5320,FA14-CS-4320-1
CS 5321,FA14-CS-4321-1
ECE 4750,FA14-CS-4420-2
CS 5620,FA14-CS-4620-1
CS 5621,FA14-CS-4621-1
COGST 4240,FA14-CS-4744-3
LING 4424,FA14-CS-4744-3
CS 5780,FA14-CS-4780-1
CS 4110,FA14-CS-5110-1
CS 4320,FA14-CS-5320-1
CS 4321,FA14-CS-5321-1
ECE 5750,FA14-CS-5420-2
CS 4620,FA14-CS-5620-1
CS 4621,FA14-CS-5621-1
CEE 5290,FA14-CS-5722-3
ORIE 5340,FA14-CS-5722-3
CS 4780,FA14-CS-5780-1
MAE 6730,FA14-CS-6751-1
INFO 6150,FA14-CS-6788-2
MATH 7290,FA14-CS-7290-1
BME 7594,FA14-CS-7594-1
MAE 2020,FA14-ENGRD-2020-1
ECE 2100,FA14-ENGRD-2100-1
CS 2110,FA14-ENGRD-2110-2
CS 2112,FA14-ENGRD-2112-2
MAE 2210,FA14-ENGRD-2210-1
ECE 2300,FA14-ENGRD-2300-1
BEE 2510,FA14-ENGRD-2510-2
BEE 2600,FA14-ENGRD-2600-2
MSE 2610,FA14-ENGRD-2610-2
AEP 2640,FA14-ENGRD-2640-2
ECE 3100,FA14-ENGRD-3100-2
AEP 1100,FA14-ENGRI-1100-2
MSE 1110,FA14-ENGRI-1110-1
CEE 1160,FA14-ENGRI-1160-2
MAE 1170,FA14-ENGRI-1170-1
MSE 1190,FA14-ENGRI-1190-1
AEP 1200,FA14-ENGRI-1200-1
CS 1610,FA14-ENGRI-1610-3
MUSIC 1465,FA14-ENGRI-1610-3
PMA 1640,FA14-ENGRI-1610-3
PSYCH 1650,FA14-ENGRI-1610-3
ARCH 3702,FA14-ENGRI-1620-4
ART 2907,FA14-ENGRI-1620-4
CS 1620,FA14-ENGRI-1620-4
ECE 1820,FA14-ENGRI-1820-1
AMST 1581,FA14-HIST-1581-1
ASRC 1590,FA14-HIST-1590-1
STS 1102,FA14-HIST-1620-2
ASTRO 1700,FA14-HIST-1700-1
ASIAN 1191,FA14-HIST-1910-1
CAPS 1910,FA14-HIST-1910-1
BSOC 1941,FA14-HIST-1941-1
STS 1941,FA14-HIST-1941-1
LATA 1950,FA14-HIST-1950-1
ASRC 1790,FA14-HIST-1970-1
BSOC 2122,FA14-HIST-2122-1
STS 2122,FA14-HIST-2122-1
AMST 2220,FA14-HIST-2220-1
ECE 2500,FA14-HIST-2500-2
ENGRG 2500,FA14-HIST-2500-2
STS 2501,FA14-HIST-2500-2
AMST 2003,FA14-HIST-2501-3
GOVT 2002,FA14-HIST-2501-3
AAS 2130,FA14-HIST-2640-1
AMST 2640,FA14-HIST-2640-1
CLASS 2675,FA14-HIST-2650-1
ASRC 2674,FA14-HIST-2674-4
GOVT 2747,FA14-HIST-2674-4
JWST 2674,FA14-HIST-2674-4
NES 2674,FA14-HIST-2674-4
BSOC 2071,FA14-HIST-2710-2
STS 2071,FA14-HIST-2710-2
GOVT 2716,FA14-HIST-2711-1
JWST 2711,FA14-HIST-2711-1
ASIAN 2298,FA14-HIST-2890-2
ASIAN 2268,FA14-HIST-2986-1
AMST 3140,FA14-HIST-3140-1
CAPS 3140,FA14-HIST-3140-1
AMST 3665,FA14-HIST-3160-3
GOVT 3665,FA14-HIST-3160-3
GOVT 3646,FA14-HIST-3343-1
AMST 3450,FA14-HIST-3450-1
AAS 3470,FA14-HIST-3470-1
AMST 3470,FA14-HIST-3470-1
FGSS 3470,FA14-HIST-3470-1
JWST 3700,FA14-HIST-3700-1
AMST 3830,FA14-HIST-3800-1
LSP 3800,FA14-HIST-3800-1
AMST 3845,FA14-HIST-3845-3
ILRLR 3845,FA14-HIST-3845-3
AMST 4218,FA14-HIST-4030-1
GOVT 4218,FA14-HIST-4030-1
COML 4415,FA14-HIST-4233-2
COML 6415,FA14-HIST-4233-2
FREN 4415,FA14-HIST-4233-2
FREN 6415,FA14-HIST-4233-2
GERST 4411,FA14-HIST-4233-2
GERST 6411,FA14-HIST-4233-2
GOVT 4786,FA14-HIST-4233-2
GOVT 6786,FA14-HIST-4233-2
HIST 6233,FA14-HIST-4233-2
JWST 4410,FA14-HIST-4233-2
JWST 6415,FA14-HIST-4233-2
ROMS 4410,FA14-HIST-4233-2
ROMS 6410,FA14-HIST-4233-2
COML 4416,FA14-HIST-4234-2
COML 6416,FA14-HIST-4234-2
FREN 4435,FA14-HIST-4234-2
FREN 6435,FA14-HIST-4234-2
GERST 4431,FA14-HIST-4234-2
GERST 6431,FA14-HIST-4234-2
GOVT 4696,FA14-HIST-4234-2
GOVT 6696,FA14-HIST-4234-2
HIST 6234,FA14-HIST-4234-2
ROMS 4430,FA14-HIST-4234-2
ROMS 6430,FA14-HIST-4234-2
AMST 4039,FA14-HIST-4390-1
ASRC 4390,FA14-HIST-4390-1
ASRC 6391,FA14-HIST-4390-1
HIST 6391,FA14-HIST-4390-1
FGSS 4640,FA14-HIST-4642-3
NES 4642,FA14-HIST-4642-3
AMST 4701,FA14-HIST-4701-1
ASRC 4701,FA14-HIST-4701-1
STS 4751,FA14-HIST-4751-2
CLASS 4625,FA14-HIST-4825-2
CLASS 6625,FA14-HIST-4825-2
HIST 6825,FA14-HIST-4825-2
RELST 4825,FA14-HIST-4825-2
AMST 4851,FA14-HIST-4851-1
LSP 4851,FA14-HIST-4851-1
HIST 6920,FA14-HIST-4910-1
MEDVL 4910,FA14-HIST-4910-1
MEDVL 6910,FA14-HIST-4910-1
HIST 6945,FA14-HIST-4945-1
ASIAN 4461,FA14-HIST-4963-1
ASIAN 6661,FA14-HIST-4963-1
CAPS 4963,FA14-HIST-4963-1
HIST 6963,FA14-HIST-4963-1
COML 4415,FA14-HIST-6233-2
COML 6415,FA14-HIST-6233-2
FREN 4415,FA14-HIST-6233-2
FREN 6415,FA14-HIST-6233-2
GERST 4411,FA14-HIST-6233-2
GERST 6411,FA14-HIST-6233-2
GOVT 4786,FA14-HIST-6233-2
GOVT 6786,FA14-HIST-6233-2
HIST 4233,FA14-HIST-6233-2
JWST 4410,FA14-HIST-6233-2
JWST 6415,FA14-HIST-6233-2
ROMS 4410,FA14-HIST-6233-2
ROMS 6410,FA14-HIST-6233-2
COML 4416,FA14-HIST-6234-2
COML 6416,FA14-HIST-6234-2
FREN 4435,FA14-HIST-6234-2
FREN 6435,FA14-HIST-6234-2
GERST 4431,FA14-HIST-6234-2
GERST 6431,FA14-HIST-6234-2
GOVT 4696,FA14-HIST-6234-2
GOVT 6696,FA14-HIST-6234-2
HIST 4234,FA14-HIST-6234-2
ROMS 4430,FA14-HIST-6234-2
ROMS 6430,FA14-HIST-6234-2
AMST 6332,FA14-HIST-6332-1
AMST 4039,FA14-HIST-6391-1
ASRC 4390,FA14-HIST-6391-1
ASRC 6391,FA14-HIST-6391-1
HIST 4390,FA14-HIST-6391-1
LATA 6482,FA14-HIST-6482-1
ASRC 6625,FA14-HIST-6625-1
ASIAN 6641,FA14-HIST-6640-1
CLASS 4625,FA14-HIST-6825-2
CLASS 6625,FA14-HIST-6825-2
HIST 4825,FA14-HIST-6825-2
RELST 4825,FA14-HIST-6825-2
HIST 4910,FA14-HIST-6920-1
MEDVL 4910,FA14-HIST-6920-1
MEDVL 6910,FA14-HIST-6920-1
HIST 4945,FA14-HIST-6945-1
ASIAN 4461,FA14-HIST-6963-1
ASIAN 6661,FA14-HIST-6963-1
CAPS 4963,FA14-HIST-6963-1
HIST 4963,FA14-HIST-6963-1
STS 7003,FA14-HIST-7000-2
CS 4210,FA14-MATH-4250-1
PHIL 4310,FA14-MATH-4810-1
PHIL 4311,FA14-MATH-4820-2
STSCI 6730,FA14-MATH-6730-2
CS 7290,FA14-MATH-7290-2
